,sentir yo,morir yo,gana morir,querer morir,sentir vacío,querer dormir,querer llorar,vida mierda,sentir triste,gana llorar,querer sentir,sentir él,gana dormir,ansiedad ansiedad,ir yo,dejar sentir,yo querer,cortar yo,dejar llorar,dejar pensar
504,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
505,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0
506,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
508,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
511,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
513,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
514,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0
516,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0
517,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
523,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
527,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
538,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
539,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
540,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1
541,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
542,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
