Node;word;frequency_word;betweenness_centrality;clustering_coefficient;eigenvector_centrality;Class_betweenness_centralitylow;Class_betweenness_centralitymedium;Class_betweenness_centralityhigh;Class_clustering_coefficientlow;Class_clustering_coefficientmedium;Class_clustering_coefficienthigh;Class_eigenvector_centralitylow;Class_eigenvector_centralitymedium;Class_eigenvector_centralityhigh
549;evitar;1.0;1,13E+11;0.015873015873015876;0.006869658763453992;0;0;1;1;0;1;0;1;0
831;miedos;1.0;6,44E+10;0.01648585194457097;0.006865510197038584;0;1;0;1;0;1;0;1;0
1591;llegarian;1.0;1,55E+11;0.02075324621613668;0.00686422998371662;0;0;1;1;0;1;0;1;0
1230;encajar;3.0;0.00038489626647627027;0.0061518969584908436;0.006859585910685198;1;0;1;0;0;1;0;1;0
1749;necesite;1.0;6,01E+10;0.017935881348372013;0.006843436614671147;0;1;0;1;0;1;0;1;0
1732;personal;1.0;0.00011981534728329571;0.017723063787025675;0.006829696933026228;0;1;0;1;0;1;0;1;0
1000;envidia;1.0;2,29E+11;0.02087270257894791;0.006814457779210237;0;1;0;1;0;1;0;1;0
546;brazos;2.0;0.0010156991648268506;0.006173402253311968;0.0068001149680694695;1;0;1;0;0;1;0;1;0
1427;jode;1.0;8,20E+09;0.02190413531662598;0.0067847608915981746;0;0;1;1;0;1;0;1;0
1542;desaparezco;1.0;2,52E+11;0.022282150011804242;0.006776668152315447;0;1;0;1;0;1;0;1;0
1539;hallar;1.0;6,11E+10;0.01619080882163454;0.0067743648536361225;0;1;0;1;0;1;0;1;0
514;aparentar;1.0;4,10E+09;0.01365972051709289;0.006742162970225204;0;1;0;0;1;0;0;1;0
1523;agobia;1.0;3,29E+10;0.02346401263004916;0.006740851920364058;0;1;0;1;0;1;0;1;0
1025;mero;1.0;2,95E+11;0.01762797448534686;0.00673779365405991;0;1;0;1;0;1;0;1;0
1589;mrd;1.0;3,54E+10;0.022627661191278892;0.006731818258840252;0;1;0;1;0;1;0;1;0
702;malo;2.0;0.0002922475196021884;0.0070237423893663884;0.006731099250136346;0;1;0;0;0;1;0;1;0
769;inundan;1.0;1,10E+11;0.02335118706593181;0.006723034653520879;0;0;1;1;0;1;0;1;0
1216;night;2,12E+11;0.018203972428445236;0.00671646292478634;0;1;0;1;0;1;0;1;0;
1574;fingiendo;2.0;8,71E+10;0.018087818434563713;0.0067113778779037585;0;1;0;1;0;1;0;1;0
81;raro;1.0;5,14E+10;0.024495445367727228;0.006708950256790969;0;1;0;1;0;1;0;1;0
398;cuento;1.0;6,05E+10;0.01365972051709289;0.006703703476121861;0;1;0;0;1;0;0;1;0
40;amor;2.0;0.00023588131717294078;0.0061734022533119675;0.006695846665690136;0;1;0;0;0;1;0;1;0
1273;animo;3.0;0.000821562696179166;0.004062020580770157;0.006691288168667025;1;0;1;0;0;1;0;1;0
1401;bajonee;1.0;1,83E+11;0.015414679129423875;0.006689945248058762;0;0;1;0;1;0;0;1;0
1274;simple;2.0;6,00E+10;0.011416317046248622;0.006678908664003951;0;1;0;0;1;0;0;1;0
1596;abre;1.0;2,32E+11;0.016904448610693942;0.00663680892880511;0;1;0;1;0;1;0;1;0
943;duelen;2.0;0.00016244561380887525;0.009115288208140017;0.006634132255254876;0;1;0;0;1;0;0;1;0
1227;visible;2.0;0.0006086960875260492;0.005952380952380953;0.006631960285598437;1;0;1;0;0;1;0;1;0
1169;propia;3.0;0.00035336969499054534;0.0037012702200197958;0.006627062740151496;0;1;0;0;0;1;0;1;0
1314;bipolaridad;1.0;4,40E+11;0.014722126772526574;0.006620356909567607;0;1;0;0;1;0;0;1;0
920;desahogarme;2.0;9,71E+10;0.008647488947332985;0.006600959511535649;0;1;0;0;1;0;0;1;0
1303;importarme;1.0;1,93E+11;0.015873015873015876;0.006599863765795537;0;0;1;1;0;1;0;1;0
763;varios;3.0;0.0030682609014025097;0.005144271663021239;0.006599116248906123;1;0;1;0;0;1;0;1;0
409;acabe;2.0;0.0001701194178550812;0.007178783648220587;0.006597357279052138;0;1;0;0;0;1;0;1;0
680;tomar;4.0;0.001991389757072422;0.002380952380952381;0.006595755091980425;1;0;1;0;0;1;0;1;0
1621;llegan;1.0;1,88E+11;0.020266837903801373;0.006581841109522237;0;0;1;1;0;1;0;1;0
122;feo;3.0;0.0005520734980320256;0.005411255411255413;0.006577322549948261;1;0;1;0;0;1;0;1;0
1676;vale;1.0;1,08E+11;0.018659407223024924;0.006571577920497557;0;0;1;1;0;1;0;1;0
1376;buenas;1.0;7,03E+09;0.02659591515953286;0.006570538282062694;0;0;1;1;0;1;0;1;0
229;resto;1.0;7,48E+10;0.018659407223024928;0.006559308828972278;0;1;0;1;0;1;0;1;0
1132;profe;1.0;2,27E+11;0.017935881348372013;0.006552786237406021;0;1;0;1;0;1;0;1;0
1021;soportarme;1.0;0.00010624293268741344;0.014722126772526574;0.00653683869023237;0;1;0;0;1;0;0;1;0
863;carajo;2.0;0.0004248975305298293;0.006549464813097178;0.006532308552930623;1;0;1;0;0;1;0;1;0
100;empiezan;2.0;0.0;0.026106575278624315;0.006514836022279033;0;0;1;1;0;1;0;1;0
1421;suicidarse;1.0;1,33E+10;0.015873015873015876;0.006498349427080019;0;0;1;1;0;1;0;1;0
589;gano;1.0;1,39E+11;0.016904448610693942;0.0064935816748669705;0;0;1;1;0;1;0;1;0
1441;veras;1.0;5,15E+11;0.01599067707252225;0.006462650924860909;0;1;0;1;0;1;0;1;0
65;irmeeeeeeeee;1.0;0.00011338364139514736;0.012936194642439974;0.006459714617384407;0;1;0;0;1;0;0;1;0
166;antesno;1.0;1,30E+11;0.02587238928487995;0.006454117798776478;0;0;1;1;0;1;0;1;0
1483;hundo;1.0;0.0;0.03947887830547444;0.0064528326426627255;0;0;1;1;0;1;0;1;0
1330;odiarlos;1.0;4,48E+09;0.015873015873015876;0.006443440803833744;0;1;0;1;0;1;0;1;0
1285;n;1.0;2,16E+11;0.016904448610693942;0.006440406587275513;0;1;0;1;0;1;0;1;0
197;deprimente;1.0;7,48E+09;0.015873015873015876;0.006425234426627483;0;0;1;1;0;1;0;1;0
809;angustiada;1.0;1,83E+11;0.028471436920382537;0.006421655145299522;0;0;1;1;0;1;0;1;0
1618;vea;2.0;5,96E+09;0.01847935399449924;0.006410009582262935;0;0;1;1;0;1;0;1;0
248;importan;1.0;2,58E+11;0.017627974485346858;0.006399917983177903;0;1;0;1;0;1;0;1;0
1253;perdiendo;1.0;2,40E+11;0.018659407223024928;0.006383486661305036;0;1;0;1;0;1;0;1;0
193;lleva;2.0;0.0006856099845865504;0.011286355162835623;0.006382007799115145;1;0;1;0;1;0;0;1;0
818;remedios;1.0;2,77E+11;0.01762797448534686;0.006380488932505072;0;1;0;1;0;1;0;1;0
569;contar;1.0;2,14E+11;0.013967627380118045;0.0063795801914740295;0;1;0;0;1;0;0;1;0
1757;madure;1.0;1,53E+11;0.01853199727805596;0.0063781754103892025;0;0;1;1;0;1;0;1;0
