Node,word,frequency_word,betweenness_centrality,clustering_coefficient,eigenvector_centrality,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
1181,mucha,2.0,0.00019149536223057214,0.005323062117257546,0.004726593712211712,0,1,0,0,0,1,0,1,0
67,segun,1.0,5.384827491924284e-05,0.011904761904761906,0.004726284314560139,0,1,0,0,1,0,0,1,0
869,ello,2.0,0.00025667298207375283,0.005952380952380953,0.004721144688176599,0,1,0,0,0,1,0,1,0
561,tsn,1.0,4.257060734206786e-05,0.015873015873015876,0.00471949008738879,0,1,0,1,0,1,0,1,0
458,asesinarme,1.0,2.7455285899579138e-05,0.011904761904761906,0.004715314610074614,0,1,0,0,1,0,0,1,0
1761,evito,1.0,3.866650893996974e-05,0.012936194642439974,0.004703767653751017,0,1,0,0,1,0,0,1,0
240,serio,1.0,1.3653634222931744e-05,0.011904761904761906,0.004696397541720103,0,0,1,0,1,0,0,1,0
328,pequenas,1.0,0.00015977045937944027,0.014691153254770958,0.004692715386190227,0,1,0,0,1,0,0,1,0
544,todas,10.0,3.228953723582936e-05,0.018203972428445236,0.004691638130369439,0,1,0,1,0,1,0,1,0
443,existiendo,1.0,0.0006319143228684761,0.014722126772526574,0.004679502391195549,1,0,1,0,1,0,0,1,0
738,cerrar,1.0,2.74472420896273e-05,0.011904761904761906,0.0046716939234430176,0,1,0,0,1,0,0,1,0
1723,justificacion,1.0,1.6538761045444315e-05,0.011904761904761906,0.0046707621089374304,0,0,1,0,1,0,0,1,0
1288,gilipollas,1.0,1.1486292863378002e-05,0.012936194642439974,0.004665778092726542,0,0,1,0,1,0,0,1,0
1674,vencerme,1.0,2.274014275457299e-05,0.020870516520395028,0.004656966994985524,0,1,0,1,0,1,0,1,0
151,sabia,2.0,0.001472506010968194,0.005478103376111742,0.004653172773040491,1,0,1,0,0,1,0,1,0
1625,paren,1.0,2.9755474282588083e-05,0.011904761904761906,0.004652456379559061,0,1,0,0,1,0,0,1,0
732,inicio,1.0,2.682068234389822e-05,0.011904761904761906,0.004652336083702594,0,1,0,0,1,0,0,1,0
1735,estarlo,1.0,5.4300387379125636e-06,0.015873015873015876,0.004647188653240409,0,0,1,1,0,1,0,1,0
1220,bola,1.0,2.8957092485285666e-05,0.011904761904761906,0.004632981601478443,0,1,0,0,1,0,0,1,0
1396,preguntarme,1.0,3.6289089378344425e-05,0.013967627380118045,0.0046285900337887705,0,1,0,0,1,0,0,1,0
1721,jodido,1.0,5.2018585392433416e-05,0.012936194642439974,0.00461425374343833,0,1,0,0,1,0,0,1,0
1601,ilucion,1.0,2.8843778448503403e-05,0.011904761904761906,0.0046035198235974345,0,1,0,0,1,0,0,1,0
124,juntan,1.0,4.096021309037785e-05,0.011904761904761906,0.004601829538382908,0,1,0,0,1,0,0,1,0
1743,persigue,1.0,1.91703799165915e-05,0.012936194642439974,0.004600512073567311,0,1,0,0,1,0,0,1,0
384,intentandopero,1.0,6.672144727957481e-05,0.011904761904761906,0.004593121091354669,0,1,0,0,1,0,0,1,0
947,imaginas,1.0,2.613273824839314e-05,0.011904761904761906,0.0045925539161188874,0,1,0,0,1,0,0,1,0
665,pieles,1.0,6.573271283967763e-06,0.01762797448534686,0.004590942220824964,0,0,1,1,0,1,0,1,0
1441,salud,1.0,1.790291839969642e-05,0.02335118706593181,0.004579185698432439,0,0,1,1,0,1,0,1,0
246,preguntar,1.0,5.3890358905410465e-05,0.011904761904761906,0.004567169534035223,0,1,0,0,1,0,0,1,0
885,enfermo,1.0,2.5164791884747142e-05,0.012936194642439974,0.004565950935099397,0,1,0,0,1,0,0,1,0
642,valentia,1.0,4.294536477343537e-06,0.011904761904761906,0.004556614278162772,0,0,1,0,1,0,0,1,0
1302,tremendas,1.0,4.095886711482542e-05,0.011904761904761906,0.004536000112676961,0,1,0,0,1,0,0,1,0
988,mando,1.0,2.4028044967545534e-05,0.011904761904761906,0.0045332457730277425,0,1,0,0,1,0,0,1,0
